node,lagoon,station,season,date_collected,water_column_position,d13C,C_umol_L,d15N,N_umol_L,flag_C,flag_N,C_N_molar_ratio,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Simpson,KUR1,break up,2019-06-29,surface,-31.17,7.54,2.57,0.8,VALID,VALID,9.42,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,KUR1,open water,2019-08-05,surface,-29.52,11.37,2.48,1.38,VALID,VALID,8.23,pump,Kuparuk River Station 1,70.3261,-148.9502,river,river
Central,Simpson,SILD1,open water,2018-07-26,bottom,-29.44,78.36,7.32,8.2,VALID,VALID,9.56,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2018-07-26,surface,-29.72,73.7,6.85,6.26,VALID,VALID,11.77,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,bottom,-26.24,10.41,7.39,1.12,VALID,VALID,9.33,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,under ice,2019-04-21,surface,-26.21,6.79,8.08,0.79,VALID,VALID,8.55,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,bottom,-25.88,29.66,6.57,2.62,VALID,VALID,11.3,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,break up,2019-06-30,surface,-26.16,54.38,5.01,5.13,VALID,VALID,10.61,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,bottom,-26.09,53.11,5.92,7.8,VALID,VALID,6.81,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD1,open water,2019-08-05,surface,-26.61,42.47,4.91,5.02,VALID,VALID,8.47,pump,Simpson Lagoon Deep Station 1,70.53706667,-149.77535,lagoon,primary
Central,Simpson,SILD2,open water,2019-08-05,bottom,-26.09,45.76,5.56,5.75,VALID,VALID,7.96,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILD2,open water,2019-08-05,surface,-26.12,24.82,6.39,5.52,VALID,VALID,4.5,pump,Simpson Lagoon Deep Station 2,70.53988333,-149.4765833,lagoon,secondary
Central,Simpson,SILS1,break up,2019-06-29,surface,-25.6,280.62,3.94,18.64,VALID,VALID,15.06,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS1,open water,2019-08-05,surface,-26.65,41.19,5.08,5.23,VALID,VALID,7.88,pump,Simpson Lagoon Shallow Station 1,70.50396,-149.70968,lagoon,primary
Central,Simpson,SILS2,open water,2019-08-05,surface,-27.25,48.68,5.74,6.71,VALID,VALID,7.25,pump,Simpson Lagoon Shallow Station 2,70.4952,-149.42349,lagoon,secondary
Central,Stefansson,SAR1,break up,2019-06-27,surface,-26.63,40.67,2.75,3.28,VALID,VALID,12.38,pump,Sagavanirktok River Station 1,70.2493,-148.3069,river,river
Central,Stefansson,SAR1,open water,2019-08-03,surface,-27.3,12.25,2.3,1.2,VALID,VALID,10.25,pump,Sagavanirktok River Station 1,70.2493,-148.3069,river,river
Central,Stefansson,STLD1,under ice,2019-04-20,bottom,-26.95,2.59,10.46,0.39,VALID,VALID,6.65,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,under ice,2019-04-20,surface,-31.25,4.16,4.18,0.58,VALID,VALID,7.21,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-27,bottom,-26.1,11.2,6.78,1.17,VALID,VALID,9.61,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-27,surface,-26.56,26.18,3.19,2.65,VALID,VALID,9.87,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,open water,2019-08-03,surface,-25.97,39.11,6.95,10.09,VALID,VALID,3.88,pump,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD2,under ice,2019-04-19,bottom,-25.94,3.05,13.05,0.47,VALID,VALID,6.48,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,under ice,2019-04-19,surface,-26.06,4.54,10.5,0.52,VALID,VALID,8.68,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03,bottom,-26.16,34.53,5.07,4.58,VALID,VALID,7.54,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03,surface,-26.32,49.24,6.23,3.42,VALID,VALID,14.42,pump,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLS1,break up,2019-06-27,surface,-25.93,28.56,3.4,2.92,VALID,VALID,9.79,pump,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03,surface,-26.42,70.46,4.36,7.36,VALID,VALID,9.58,pump,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS2,break up,2019-06-28,surface,-25.83,23.11,3.3,2.2,VALID,VALID,10.51,pump,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
Central,Stefansson,STLS2,open water,2019-08-03,surface,-25.88,133.82,4.38,15.33,VALID,VALID,8.73,pump,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
East,Jago,JALD1,open water,2018-08-02,bottom,-28.28,63.2,7.98,12.38,VALID,VALID,5.11,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2018-08-02,surface,-28.34,41.21,4.76,4.7,VALID,VALID,8.77,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-08,bottom,-26.43,24.66,4.92,3.73,VALID,VALID,6.62,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-08,surface,-26.64,26.55,5.25,3.57,VALID,VALID,7.43,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD2,open water,2018-08-01,bottom,-28.89,40.85,5.93,4.65,VALID,VALID,8.78,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-01,surface,-29.09,44.04,4.82,3.66,VALID,VALID,12.03,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,bottom,-24.35,3.79,9.43,0.61,VALID,VALID,6.25,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,surface,-28.65,4.82,7.92,0.32,VALID,VALID,15.03,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-21,bottom,-26.78,19.27,5.69,3.57,VALID,VALID,5.39,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-21,surface,-27.9,55.06,4.54,4.92,VALID,VALID,11.19,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,bottom,-26.06,41.8,5.68,5.42,VALID,VALID,7.71,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,surface,-26.27,37.82,5.31,5.04,VALID,VALID,7.5,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALS1,open water,2018-08-02,surface,-28.47,69.56,5.43,8.46,VALID,VALID,8.22,pump,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS1,open water,2019-08-08,surface,-27,23.81,5.6,3.03,VALID,VALID,7.85,pump,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS2,open water,2018-08-01,surface,-29.18,42.83,5.21,4.37,VALID,VALID,9.8,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-23,surface,-27.84,39.26,4.02,3.68,VALID,VALID,10.67,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,surface,-27.29,35.55,4.15,4.34,VALID,VALID,8.18,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JAR1,open water,2018-07-23,surface,-27.2,158.61,2.34,11.36,VALID,VALID,13.96,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Jago,JAR1,open water,2018-07-31,surface,-27.15,179.08,3.06,17.87,VALID,VALID,10.02,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Jago,JAR1,break up,2019-06-22,surface,-26.48,52.59,0.75,3.93,VALID,VALID,13.38,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Kaktovik,KALD1,open water,2018-08-03,bottom,-29.88,65.85,9.05,9.53,VALID,VALID,6.91,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2018-08-03,surface,-30.07,32.91,5.66,3.2,VALID,VALID,10.28,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28,bottom,-24.65,6.64,12.29,0.89,VALID,VALID,7.46,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28,surface,-24.85,5.3,11.72,0.67,VALID,VALID,7.89,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08,bottom,-27.05,42.18,6.4,3.5,VALID,VALID,12.06,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08,surface,-27.18,18.81,5.69,2.6,VALID,VALID,7.23,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD2,open water,2018-08-04,bottom,-30.05,39.35,9.79,5.99,VALID,VALID,6.57,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2018-08-04,surface,-29.5,53.77,5.93,4.71,VALID,VALID,11.42,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,bottom,-25.15,8.97,11.1,1.07,VALID,VALID,8.42,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,under ice,2019-04-26,surface,-26.79,7.16,10.89,0.78,VALID,VALID,9.14,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-21,bottom,-26.96,44.6,8.71,5.96,VALID,VALID,7.48,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,break up,2019-06-21,surface,-27.64,43.93,4.28,4.07,VALID,VALID,10.78,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2019-08-08,bottom,-26.81,20.92,6.59,4.01,VALID,VALID,5.21,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALD2,open water,2019-08-08,surface,-27.1,21.98,6.05,2.85,VALID,VALID,7.73,pump,Kaktovik Lagoon Deep Station 2,70.1009333,-143.5709,lagoon,primary
East,Kaktovik,KALS1,open water,2018-08-03,surface,-28.2,76.45,4.55,5.8,VALID,VALID,13.18,pump,Kaktovik Lagoon Shallow Station 1,70.08161,-143.55383,lagoon,secondary
East,Kaktovik,KALS1,open water,2019-08-10,surface,-26.76,56.96,5.14,7.31,VALID,VALID,7.79,pump,Kaktovik Lagoon Shallow Station 1,70.08161,-143.55383,lagoon,secondary
East,Kaktovik,KALS2,open water,2018-08-03,surface,-28.89,38.95,5.25,3.98,VALID,VALID,9.79,pump,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,Kaktovik,KALS2,break up,2019-06-23,surface,-27.13,51.46,4.75,4,VALID,VALID,12.86,pump,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,Kaktovik,KALS2,open water,2019-08-10,surface,-26.34,37.1,6.54,5.34,VALID,VALID,6.95,pump,Kaktovik Lagoon Shallow Station 2,70.11949,-143.5372,lagoon,primary
East,not applicable,Beaufort2018,open water,2018-08-04,surface,-26.98,24.94,7.43,4.05,VALID,VALID,6.16,pump,"Beaufort Sea, sampling site 2018",70.13337,-143.70329,ocean,ocean
East,not applicable,Beaufort2019,open water,2019-08-05,surface,-26.41,79.82,4.47,8.34,VALID,VALID,9.57,pump,"Beaufort Sea, sampling site 2019",70.44325,-148.739283,ocean,ocean
West,Elson East,AVR1,open water,2019-08-05,surface,-30.8,77.93,2.9,5.88,VALID,VALID,13.25,pump,Avak Creek Station 1,71.14711,-156.19139,river,river
West,Elson East,EELD1,under ice,2019-04-16,bottom,-25.82,5.5,9.41,0.63,VALID,VALID,8.67,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,under ice,2019-04-16,surface,-24.67,4.37,10.95,0.56,VALID,VALID,7.81,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-07-31,bottom,-27.05,17.73,7.31,2.96,VALID,VALID,5.99,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD1,open water,2019-07-31,surface,-27.25,19.11,7.2,2.65,VALID,VALID,7.2,pump,Elson East Lagoon Deep Station 1,71.29286,-156.19644,lagoon,primary
West,Elson East,EELD2,open water,2019-07-31,bottom,-26.01,62.18,7.98,9.09,VALID,VALID,6.84,pump,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELD2,open water,2019-07-31,surface,-27.25,32.8,6.34,4.15,VALID,VALID,7.89,pump,Elson East Lagoon Deep Station 2,71.25211,-156.04619,lagoon,secondary
West,Elson East,EELS1,break up,2019-06-22,surface,-26.94,94.87,4.81,9.18,VALID,VALID,10.33,pump,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS1,open water,2019-07-31,surface,-27.46,54.64,5.58,5.67,VALID,VALID,9.64,pump,Elson East Lagoon Shallow Station 1,71.2629,-156.27286,lagoon,primary
West,Elson East,EELS2,open water,2019-07-31,surface,-27.29,49.64,6.38,5.87,VALID,VALID,8.45,pump,Elson East Lagoon Shallow Station 2,71.24097,-156.09151,lagoon,secondary
West,Elson East,NNR1,break up,2019-06-20,surface,-29.85,45.89,2.58,3.93,VALID,VALID,11.68,grab,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson East,NNR1,break up,2019-06-24,surface,-29.74,70.74,1.42,4.04,VALID,VALID,17.5,grab,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson East,NNR1,open water,2019-08-02,surface,-30.31,96.86,2.62,8.03,VALID,VALID,12.07,grab,No Name River Station 1,71.2392833,-156.33505,river,river
West,Elson West,EWLD1,open water,2018-07-28,bottom,-26.99,47.23,5.89,3.2,VALID,VALID,14.76,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2018-07-28,surface,-27.14,42.38,6.64,3.8,VALID,VALID,11.15,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14,bottom,-25.65,12.64,8.86,1.31,VALID,VALID,9.66,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,under ice,2019-04-14,surface,-24.28,3.66,11.04,0.47,VALID,VALID,7.79,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-23,bottom,-25.15,36.41,7.96,3.19,VALID,VALID,11.42,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-23,surface,-26.07,37.06,5.66,3.76,VALID,VALID,9.85,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24,bottom,-26.31,51.74,3.64,4.47,VALID,VALID,11.56,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,break up,2019-06-24,surface,-26.99,51.9,4.69,5.68,VALID,VALID,9.13,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05,bottom,-25.42,21.3,7.94,3.18,VALID,VALID,6.7,pump,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD1,open water,2019-08-05,surface,-25.29,30.4,8.73,5,VALID,VALID,6.08,grab,Elson West Lagoon Deep Station 1,71.3379,-156.4165,lagoon,primary
West,Elson West,EWLD2,under ice,2019-04-15,bottom,-24.2,18.5,7.29,1.39,VALID,VALID,13.33,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,under ice,2019-04-15,surface,-24.4,5.05,11.54,0.6,VALID,VALID,8.37,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05,bottom,-25.73,33.47,7.71,4.58,VALID,VALID,7.31,pump,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05,surface,-26.14,24.08,7.1,3.25,VALID,VALID,7.41,grab,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLS1,open water,2018-07-28,surface,-27.61,126.09,4.75,9.56,VALID,VALID,13.19,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,break up,2019-06-25,surface,-25.67,65.73,6.32,6.74,VALID,VALID,9.76,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,open water,2019-08-05,surface,-28.31,64.76,5.64,7.25,VALID,VALID,8.93,pump,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS2,break up,2019-06-22,surface,-27.41,86.77,4.51,7.85,VALID,VALID,11.05,pump,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,EWLS2,open water,2019-08-05,surface,-27.07,44.86,5.53,4.94,VALID,VALID,9.09,pump,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,MYR1,break up,2019-06-20,surface,-29.23,41.65,3.2,4.64,VALID,VALID,8.98,grab,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
West,Elson West,MYR1,break up,2019-06-24,surface,-29.55,33.21,3.11,3.09,VALID,VALID,10.74,grab,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
West,Elson West,MYR1,open water,2019-08-02,surface,-29.1,47.55,2.74,4.57,VALID,VALID,10.41,grab,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
